66712358,2145101764121,2015-10-12 16:26:39.960,113.35384600000000000000,23.12763800000000100000,113.29826500000000000000,23.13154499999999900000
66720357,2145102010177,2015-10-12 16:48:11.697,114.44394439458847000000,38.08580948374397900000,114.50458600000000000000,38.03807900000000300000
66720425,2145102010334,2015-10-13 13:28:00.000,108.76176000000000000000,34.43551300000000000000,108.91921400000000000000,34.24064299999999900000
66720450,2145102010374,2015-10-12 16:48:23.410,113.34392000000000000000,23.11674300000000000000,113.35516200000001000000,23.14111900000000000000
66720464,2145102010415,2015-10-12 16:48:25.180,108.95127800000000000000,34.27066700000000300000,108.90823600000000000000,34.29273700000000200000
66720532,2145102010540,2015-10-12 16:48:32.847,121.45881500000000000000,31.22937999999999900000,121.55763399999999000000,31.20357500000000100000
66720539,2145102010553,2015-10-12 16:48:33.740,106.54505610466003000000,29.60707118471335500000,106.52629899999999000000,29.61852100000000100000
66743106,2145102100140,2015-10-12 20:20:00.000,119.31954399999999000000,26.11202900000000000000,119.18837200000000000000,26.06210099999999800000
66743123,2145102100164,2015-10-12 17:44:48.643,119.38906900000001000000,25.98364600000000000000,119.37016000000000000000,26.04602300000000200000
66743157,2145102100236,2015-10-12 22:49:00.000,87.47067099999999600000,43.89918500000000300000,87.61214099999999400000,43.79107900000000300000
66743174,2145102100263,2015-10-12 17:44:56.667,118.71334800000000000000,32.00385800000000100000,118.72359800000000000000,32.01610099999999900000
66743208,2145102100331,2015-10-12 17:45:01.077,114.45287399999999000000,23.08246200000000000000,114.41157699999999000000,23.10741900000000000000
66743225,2145102100360,2015-10-12 17:45:05.240,120.36029800000000000000,31.53907900000000100000,120.33199300000000000000,31.58240500000000100000
66743255,2145102100431,2015-10-12 18:00:00.000,106.79971600000000000000,26.54072800000000100000,106.66267999999999000000,26.43658400000000000000
66720498,2145102010467,2015-10-12 17:00:00.000,106.79971600000000000000,26.54072800000000100000,106.72062699999999000000,26.57365000000000100000
66720505,2145102010500,2015-10-12 16:48:30.330,116.47887500000000000000,39.91021200000000100000,116.49230200000000000000,39.96881100000000200000
66720584,2145102010644,2015-10-12 16:48:40.100,116.67786400000000000000,39.93870900000000300000,116.65855700000000000000,39.88903500000000000000
66720591,2145102010656,2015-10-12 16:48:41.567,113.28151300000000000000,23.09241000000000100000,113.32897699999999000000,23.12184200000000100000
66720598,2145102010665,2015-10-12 18:10:00.000,121.32087500000000000000,31.19423600000000000000,121.38764900000000000000,31.18913999999999800000
66720605,2145102010700,2015-10-12 16:48:43.417,114.02740000000000000000,22.53488400000000200000,114.11866800000000000000,22.53208400000000100000
66720684,2145102011050,2015-10-13 11:00:00.000,120.16415100000000000000,30.26938399999999900000,121.80293200000000000000,31.14983900000000000000
66720691,2145102011060,2015-10-12 17:00:00.000,121.45432900000000000000,31.20402700000000000000,121.32620199999999000000,31.19470400000000200000
66697673,2145101717352,2015-10-12 15:44:16.887,108.95980600000000000000,34.21162300000000300000,109.00778099999999000000,34.23889700000000100000
66743016,2145102077752,2015-10-12 17:44:31.760,106.58305500000000000000,29.72294499999999900000,106.62179000000000000000,29.70182799999999900000
66743029,2145102077772,2015-10-12 17:44:33.587,113.71975800000000000000,34.77650299999999800000,113.72264300000001000000,34.76783900000000200000
